,Name,Contact,Category,Years in Business
0,BHB  Valet,(424) 394-0219,Party & Event Planners,28YEARSIN BUSINESS
1,Air BnB,(818) 915-3786,Party & Event Planners,None
2,angels event,(310) 529-1106,Party & Event Planners,None
3,Pico Party Rents & Sells,(323) 936-8268,Party & Event Planners,98YEARSIN BUSINESS
4,BHB  Valet,(424) 394-0219,Party & Event Planners,28YEARSIN BUSINESS
5,Any Day Anytime Cleaning Service,(661) 621-2094,Party & Event Planners,24YEARSIN BUSINESS
6,Alegre Party Supply,(323) 236-2877,Party & Event Planners,None
7,West Coast Custom Events,(323) 826-4751,Party & Event Planners,None
8,A V Party Rentals,(818) 336-1795,Party & Event Planners,55YEARSIN BUSINESS
9,Arcades & Party Rentals by GEMS INC.,(818) 980-7368,Party & Event Planners,28YEARSIN BUSINESS
10,Ventura Boat Rentals .com & A Beautiful Burial At Sea .com,(805) 232-5750,Party & Event Planners,41YEARSIN BUSINESS
11,Party Truck Game Center,(855) 784-2632,Party & Event Planners,None
12,All Valley Party Rentals,(818) 891-3676,Party & Event Planners,44YEARSIN BUSINESS
13,Wedgewood Banquet Center,(866) 966-3009,Party & Event Planners,37YEARSIN BUSINESS
14,GuardNow,(818) 344-4852,Party & Event Planners,24YEARSIN BUSINESS
15,LAZ Parking/ Sunset Services,(877) 900-7275,Party & Event Planners,None
16,Mountain Valley Water Co,(800) 499-9982,Party & Event Planners,152YEARSIN BUSINESS
17,Trightymite Event Lighting & Decor,(310) 251-7652,Party & Event Planners,None
18,House of Anjelux,(323) 452-2302,Party & Event Planners,12YEARSIN BUSINESS
19,VC Photography,(323) 470-2143,Party & Event Planners,18YEARSIN BUSINESS
20,Cotton Candy Girls,(818) 473-5833,Party & Event Planners,12YEARSIN BUSINESS
21,Host Helpers,(310) 475-8100,Party & Event Planners,29YEARSIN BUSINESS
22,Party For Less,(323) 354-4519,Party & Event Planners,None
23,American Home Design Fabrics & Tablecloths,(213) 258-2139,Party & Event Planners,None
24,De Gloriana Community Hall,(323) 234-7576,Party & Event Planners,11YEARSIN BUSINESS
25,Whimsic Alley,(310) 453-2370,Party & Event Planners,19YEARSIN BUSINESS
26,Party Palace Entertainment Com Inc,(310) 764-4222,Party & Event Planners,None
27,Mariachi Los Gallitos,(323) 240-1609,Party & Event Planners,31YEARSIN BUSINESS
28,GBK Productions,(323) 933-9989,Party & Event Planners,23YEARSIN BUSINESS
29,TapSnap Photo Booth,(323) 425-9743,Party & Event Planners,11YEARSIN BUSINESS
30,SUPERSTAR STYLE FASHION JEWELRY,(310) 654-8103,Party & Event Planners,9YEARSIN BUSINESS
31,Cash Cube Money Machine Store ™,(213) 426-8500,Party & Event Planners,36YEARSIN BUSINESS
32,RED CARPET CONNECTIONS  INC,(818) 983-5788,Party & Event Planners,15YEARSIN BUSINESS
33,Revelry Event Designers,(323) 263-1657,Party & Event Planners,24YEARSIN BUSINESS
34,Dori's Jumpers,(877) 481-6233,Party & Event Planners,None
35,Banquet Hall For Rent,(562) 244-4247,Party & Event Planners,None
36,Good Gracious Events,(323) 954-2277,Party & Event Planners,35YEARSIN BUSINESS
37,Inspired Dream Events,(310) 795-8832,Party & Event Planners,None
38,Living the Dream Unlimited,(323) 496-2022,Party & Event Planners,None
39,Mireille Gineste,(951) 217-9465,Party & Event Planners,None
40,Fever Paint Studios,(310) 480-2079,Party & Event Planners,15YEARSIN BUSINESS
41,Floatastic,(617) 335-5062,Party & Event Planners,None
42,AMARA ONONI Event Design,(213) 290-4166,Party & Event Planners,9YEARSIN BUSINESS
43,ETC Event Traffic Control,(424) 230-9382,Party & Event Planners,27YEARSIN BUSINESS
44,TheWeddingPlanner1,(323) 535-3991,Party & Event Planners,20YEARSIN BUSINESS
45,Ski Dazzle,(949) 497-4977,Party & Event Planners,None
46,Flowers and Diamonds,(801) 403-4315,Party & Event Planners,None
47,Teresa Flowers,(801) 403-4315,Party & Event Planners,None
48,LB & ASSOCIATES EVENT PLANNING,(213) 413-0548,Party & Event Planners,22YEARSIN BUSINESS
49,Mariachi Raza Jaliciense,(323) 523-6379,Party & Event Planners,9YEARSIN BUSINESS
50,The Holding Company,(323) 404-0524,Party & Event Planners,None
51,Buongiorno Party,(323) 636-7957,Party & Event Planners,16YEARSIN BUSINESS
52,Diana Event Coordinator,(213) 207-6538,Party & Event Planners,9YEARSIN BUSINESS
